idx,timestamp,action,delta_before,delta_after,delta_change,quantity_traded,PnL_closing_futures,PnL_closing_options,PnL_total
151,2020/05/11 11:49:00.168,sell,0.5582565077802215,-0.4417434922197785,-1,1,-135.8500000000131,-105.0,-240.8500000000131
152,2020/05/11 11:50:00.428,buy,-0.8883050521033127,0.11169494789668732,1,1,-125.80000000001382,-15.0,-140.80000000001382
154,2020/05/11 11:52:00.661,sell,1.0864280238272315,0.08642802382723147,-1,1,-165.05000000001746,-15.000000000007276,-180.05000000002474
156,2020/05/11 11:54:00.144,buy,-0.8767180500079732,0.1232819499920268,1,1,-135.40000000001237,85.0,-50.40000000001237
163,2020/05/11 12:02:00.692,sell,-0.6285217129115281,-5.628521712911528,-5,5,-106.00000000001455,-35.0,-141.00000000001455
163,2020/05/11 12:02:00.692,SHORT EXIT : NEG_SIGNAL,,,,,,,
163,2020/05/11 12:02:00.692,LONG START : NEG_SIGNAL,,,,,,,
163,2020/05/11 12:02:00.692,sell,6.0400188828339125,0.04001888283391253,-6,6,-8.10000000000582,-210.0,-218.10000000000582
166,2020/05/11 12:05:00.192,buy,-0.820089687580527,0.17991031241947297,1,1,45.09999999999127,-5.0,40.09999999999127
167,2020/05/11 12:06:00.020,sell,0.6137871890674091,-0.38621281093259086,-1,1,13.750000000007276,-135.0,-121.24999999999272
171,2020/05/11 12:10:00.115,sell,0.5045055525369833,-0.49549444746301674,-1,1,-30.35000000000582,-320.0,-350.3500000000058
172,2020/05/11 12:11:00.088,buy,-0.9783698950489708,0.02163010495102924,1,1,9.80000000000291,-280.0,-270.1999999999971
173,2020/05/11 12:12:00.632,sell,0.5788105078032757,-0.4211894921967243,-1,1,-30.799999999995634,-315.0,-345.79999999999563
176,2020/05/11 12:15:00.147,sell,0.6957801800240162,-0.3042198199759838,-1,1,-100.54999999998836,-210.0,-310.54999999998836
184,2020/05/11 12:23:00.503,buy,-0.6766837419815346,0.3233162580184654,1,1,-63.54999999998836,-440.0,-503.54999999998836
185,2020/05/11 12:25:00.316,sell,1.4010313764575315,0.4010313764575315,-1,1,-136.74999999998545,-410.0,-546.7499999999854
192,2020/05/11 12:32:00.013,buy,-1.1207324885167012,-0.12073248851670115,1,1,-24.29999999998836,-510.0000000000073,-534.2999999999956
193,2020/05/11 12:33:00.599,buy,-1.0005232128202053,-0.0005232128202052877,1,1,23.90000000000873,-405.0,-381.09999999999127
197,2020/05/11 12:37:00.202,buy,-0.826704037984932,0.17329596201506803,1,1,67.64999999999418,-255.0,-187.35000000000582
199,2020/05/11 12:39:00.101,sell,0.9015523813583357,-0.09844761864166429,-1,1,27.65000000000873,-265.0,-237.34999999999127
200,2020/05/11 12:40:00.460,buy,-0.5523915406578297,0.4476084593421703,1,1,56.55000000001746,-325.0,-268.44999999998254
201,2020/05/11 12:41:00.012,buy,1.3109559646603657,6.310955964660366,5,5,31.40000000000873,-370.0,-338.59999999999127
201,2020/05/11 12:41:00.012,LONG EXIT : NEG_SIGNAL,,,,,,,
201,2020/05/11 12:41:00.012,SHORT START : NEG_SIGNAL,,,,,,,
201,2020/05/11 12:41:00.012,buy,-6.174393681910985,-0.1743936819109848,6,6,11.700000000004366,-195.0,-183.29999999999563
203,2020/05/11 12:43:00.421,buy,-0.7055128079680344,0.2944871920319656,1,1,19.299999999995634,-185.0,-165.70000000000437
209,2020/05/11 12:49:00.931,buy,-0.8835157219765648,0.1164842780234352,1,1,88.29999999999563,-140.0,-51.700000000004366
212,2020/05/11 12:52:00.364,buy,-0.6632920043664043,0.33670799563359566,1,1,141.24999999997817,10.0,151.24999999997817
217,2020/05/11 12:58:00.162,buy,-0.7666401808037904,0.23335981919620963,1,1,222.84999999999127,-40.0,182.84999999999127
218,2020/05/11 12:59:00.553,sell,0.5712187905019022,-0.42878120949809784,-1,1,200.84999999997672,80.0,280.8499999999767
219,2020/05/11 13:00:00.280,buy,-0.637675475712399,0.362324524287601,1,1,207.09999999997672,-95.0,112.09999999997672
220,2020/05/11 13:01:00.114,sell,1.4039611119674191,0.40396111196741913,-1,1,128.54999999998836,-130.0,-1.4500000000116415
221,2020/05/11 13:02:00.235,sell,0.503587612073126,-0.49641238792687403,-1,1,121.24999999998545,0.0,121.24999999998545
222,2020/05/11 13:03:00.070,buy,-0.9687607568549481,0.031239243145051887,1,1,145.099999999984,-15.0,130.099999999984
224,2020/05/11 13:05:00.397,sell,0.6345434132227652,-0.3654565867772348,-1,1,103.24999999998545,75.0,178.24999999998545
228,2020/05/11 13:09:00.081,buy,-0.9460447290795102,0.053955270920489795,1,1,136.7499999999709,240.0,376.7499999999709
228,2020/05/11 13:09:00.081,sell,0.053955270920489795,-8.94604472907951,-9,9,135.34999999997672,240.0,375.3499999999767
228,2020/05/11 13:09:00.081,SHORT EXIT : RESPONSE EXIT_P,,,,,,,
233,2020/05/11 13:14:00.048,SHORT START : NEUTRAL,,,,,,,
233,2020/05/11 13:14:00.048,buy,-8.254746931740748,-0.2547469317407476,8,8,8.39999999999418,-115.0,-106.60000000000582
234,2020/05/11 13:15:00.000,sell,0.562942377647417,-0.43705762235258305,-1,1,-61.14999999999418,-215.0,-276.1499999999942
235,2020/05/11 13:16:00.000,buy,-0.8007917459438474,0.1992082540561526,1,1,-41.39999999999418,-350.0,-391.3999999999942
236,2020/05/11 13:17:00.031,sell,1.2674575967934558,0.2674575967934558,-1,1,-113.24999999999272,-160.0,-273.2499999999927
